Item #,Section,Inventory Part No.,Part Name (EN),Side,Catalogue Part No.,Drawing No.,Status,Qty,Unit Price (USD),Unit Price (ZAR),Total Value (ZAR),Warehouse Location,Discrepancy Notes
149,Roof Deflector,5704212CB45-G,Upper Deflector R/H,R/H,5704212CB45,5704M10-B45-002,MATCHED,3,15.5,263.5,790.5,C1-a,-G colour. Ref. 5704211CB45.
150,Roof Deflector,5704221CB45-G,Lower Deflector L/H,L/H,5704221CB45,5704M10-B45-002,MATCHED,3,24,408,1224,C1-a,-G colour.
151,Roof Deflector,5704222CB45-G,Lower Deflector R/H,R/H,5704222CB45,5704M10-B45-002,MATCHED,3,23,391,1173,C1-a,-G colour.
152,Roof Deflector,5704231-H40,Upper Deflector Bracket L/H,L/H,5704231-H40,5704M10-B45-002,MATCHED,3,2.2,37.4,112.2,C1-c,
153,Roof Deflector,5704232-H40,Upper Deflector Bracket R/H,R/H,5704232-H40,5704M10-B45-002,MATCHED,3,2.2,37.4,112.2,C1-c,Ref. 5704231-H40.
154,Roof Deflector,5704241-H40,Lower Deflector Upper Bracket L/H,L/H,5704241-H40,5704M10-B45-002,MATCHED,3,2,34,102,C1-c,
155,Roof Deflector,5704242-H40,Lower Deflector Upper Bracket R/H,R/H,5704242-H40,5704M10-B45-002,MATCHED,3,2.2,37.4,112.2,C1-c,
156,Roof Deflector,5704251-H40,Lower Deflector Middle Bracket L/H,L/H,5704251-H40,5704M10-B45-002,MATCHED,3,2.2,37.4,112.2,C1-c,
157,Roof Deflector,5704262-H40,Lower Deflector Lower Bracket R/H,R/H,5704262-H40,5704M10-B45-002,MATCHED,3,3,51,153,C1-c,
158,Roof Deflector,5704281DB45,Lower Reinforcement Tube L/H,L/H,5704281DB45,5704M10-B45-002,MATCHED,3,3.5,59.5,178.5,C1-d,
159,Roof Deflector,5704282-H40,R/H Deflector Support Tube,R/H,5704282-H40,5704M10-B45-002,MATCHED,3,2.3,39.1,117.3,C1-b,
160,Roof Deflector,5704283CB45,Reinforcement Tube Fixing Bracket,CENTRE,5704283CB45,5704M10-B45-002,MATCHED,3,2.3,39.1,117.3,C1-d,
161,Air Conditioning,8105010-1600-C00,Condenser Assembly,CENTRE,8105010-1600-C00,8105010-1600-C00,MATCHED,5,46.27,786.59,3932.95,D2-b,PN not found in translated catalogue sections. Likely in A/C section (Drw 405/406). Verify.
